SYMBOL,NSE_CATEGORY,NSE_SUB_CATEGORY,ATOM_BUCKET,TIER2_GROUP,TIER1_INDEX,PEERS_TIER1,PEERS_TIER2,PROXY_AVAILABLE,ASSIGNMENT_STATUS,VOLUME_INFO_ONLY,LIQUID_INFO_ONLY,LTP,NAV,I_NAV,NOTE
CONSUMER,EQUITY,Nifty India New Age Consumption,SECTOR,FMCG_CONSUMPTION,INDIA NEW AGE CONSUMPTION,0,7,TIER2,AUTO,90035,NO,11.72,11.64,11.74,
CONSUMBEES,EQUITY,Nifty India Consumption,SECTOR,FMCG_CONSUMPTION,INDIA CONSUMPTION,4,7,TIER1,AUTO,57414,NO,126.95,126.74,127.48,
FMCGADD,EQUITY,Nifty FMCG,SECTOR,FMCG_CONSUMPTION,FMCG,1,7,TIER1,AUTO,37341,NO,46.07,45.76,45.78,
CONS,EQUITY,Nifty India Consumption,SECTOR,FMCG_CONSUMPTION,INDIA CONSUMPTION,4,7,TIER1,AUTO,16325,NO,11.85,11.71,11.78,
CONSUMIETF,EQUITY,Nifty India Consumption,SECTOR,FMCG_CONSUMPTION,INDIA CONSUMPTION,4,7,TIER1,AUTO,13540,NO,119.31,117.92,118.71,
SBIETFCON,EQUITY,Nifty India Consumption,SECTOR,FMCG_CONSUMPTION,INDIA CONSUMPTION,4,7,TIER1,AUTO,1963,NO,118.54,117.46,118.14,
CONSUMAXIS,EQUITY,Nifty India Consumption,SECTOR,FMCG_CONSUMPTION,INDIA CONSUMPTION,4,7,TIER1,AUTO,260,NO,118.11,117.11,117.60,
GROWWRAIL,EQUITY,Nifty India Railways PSU,SECTOR,INFRA,INDIA RAILWAYS PSU,0,7,TIER2,AUTO,521994,YES,27.14,26.69,26.92,
INFRAIETF,EQUITY,Nifty Infrastructure,SECTOR,INFRA,INFRASTRUCTURE,1,7,TIER1,AUTO,356586,YES,92.00,91.78,92.46,
MOREALTY,EQUITY,Nifty Realty,SECTOR,INFRA,REALTY,1,7,TIER1,AUTO,330304,YES,83.90,82.57,83.86,
GROWWRLTY,EQUITY,Nifty Realty,SECTOR,INFRA,REALTY,1,7,TIER1,AUTO,280109,YES,9.40,9.22,9.36,
CEMNTGROWW,EQUITY,Nifty Cements,SECTOR,INFRA,CEMENTS,0,7,TIER2,AUTO,68805,NO,14.05,13.83,13.96,
INFRA,EQUITY,Nifty India Infrastructure & Logistics,SECTOR,INFRA,INDIA INFRASTRUCTURE & LOGISTICS,0,7,TIER2,AUTO,38972,NO,11.66,11.53,11.68,
INFRABEES,EQUITY,Nifty Infrastructure,SECTOR,INFRA,INFRASTRUCTURE,1,7,TIER1,AUTO,6160,NO,933.60,922.09,928.34,
MOINFRA,EQUITY,BSE India Infrastructure,SECTOR,INFRA,INDIA INFRASTRUCTURE,0,7,TIER2,AUTO,855,NO,57.60,57.23,57.56,
GROWWNET,EQUITY,Nifty India Internet,SECTOR,INTERNET,INDIA INTERNET,1,1,TIER1,AUTO,426495,YES,10.70,10.71,10.71,
INTERNET,EQUITY,Nifty India Internet,SECTOR,INTERNET,INDIA INTERNET,1,1,TIER1,AUTO,96126,NO,14.44,14.46,14.52,
ITBEES,EQUITY,Nifty IT,SECTOR,IT,IT,9,9,TIER1,AUTO,8324681,YES,32.46,32.33,32.41,
ITETF,EQUITY,Nifty IT,SECTOR,IT,IT,9,9,TIER1,AUTO,357330,YES,30.97,30.86,30.86,
ITIETF,EQUITY,Nifty IT,SECTOR,IT,IT,9,9,TIER1,AUTO,298904,YES,32.45,32.36,32.36,
IT,EQUITY,NIFTY IT,SECTOR,IT,IT,9,9,TIER1,AUTO,160242,YES,32.51,32.33,31.89,
HDFCNIFIT,EQUITY,Nifty IT,SECTOR,IT,IT,9,9,TIER1,AUTO,65039,NO,31.00,31.10,31.16,
TECH,EQUITY,Nifty IT,SECTOR,IT,IT,9,9,TIER1,AUTO,20077,NO,31.85,31.87,31.94,
SBIETFIT,EQUITY,Nifty IT,SECTOR,IT,IT,9,9,TIER1,AUTO,5344,NO,324.44,322.72,323.48,
ITADD,EQUITY,Nifty IT,SECTOR,IT,IT,9,9,TIER1,AUTO,2978,NO,30.99,30.87,30.94,
ITBETA,EQUITY,Nifty IT,SECTOR,IT,IT,9,9,TIER1,AUTO,1071,NO,309.39,306.19,306.90,
ITAXIS,EQUITY,Nifty IT,SECTOR,IT,IT,9,9,TIER1,AUTO,609,NO,318.10,320.69,318.86,
MAKEINDIA,EQUITY,Nifty India Manufacturing,SECTOR,MANUFACTURING,INDIA MANUFACTURING,2,2,TIER1,AUTO,37857,NO,161.34,158.97,161.11,
MANUFGBEES,EQUITY,Nifty India Manufacturing,SECTOR,MANUFACTURING,INDIA MANUFACTURING,2,2,TIER1,AUTO,2092,NO,159.94,156.95,159.07,
MOMGF,EQUITY,Nifty India Manufacturing,SECTOR,MANUFACTURING,INDIA MANUFACTURING,2,2,TIER1,AUTO,1074,NO,158.89,155.88,158.10,
METAL,EQUITY,Nifty Metal,SECTOR,METALS,METAL,5,5,TIER1,AUTO,2934238,YES,13.00,12.87,12.99,
METALIETF,EQUITY,Nifty Metal,SECTOR,METALS,METAL,5,5,TIER1,AUTO,2907242,YES,12.99,12.82,12.94,
GROWWMETAL,EQUITY,Nifty Metal,SECTOR,METALS,METAL,5,5,TIER1,AUTO,407418,YES,12.16,12.14,12.26,
HDFCNIMEG,EQUITY,Nifty Metal,SECTOR,METALS,METAL,5,5,TIER1,AUTO,20678,NO,127.98,127.34,128.54,
EMETAL,EQUITY,Nifty Metal,SECTOR,METALS,METAL,5,5,TIER1,AUTO,7553,NO,13.70,12.73,12.86,
MOMETAL,EQUITY,Nifty Metal,SECTOR,METALS,METAL,5,5,TIER1,AUTO,2261,NO,12.81,12.74,12.87,
MNC,EQUITY,Nifty MNC,SECTOR,MNC,MNC,1,1,TIER1,AUTO,18692,NO,32.49,32.10,32.25,
MOMNC,EQUITY,Nifty MNC ETF,SECTOR,MNC,MNC,1,1,TIER1,AUTO,2332,NO,31.46,31.08,27.76,
PHARMABEES,EQUITY,Nifty Pharma,SECTOR,PHARMA_HEALTHCARE,PHARMA,0,7,TIER2,AUTO,3319130,YES,27.38,26.89,27.33,
GROWWHOSPI,EQUITY,BSE Hospitals,SECTOR,PHARMA_HEALTHCARE,HOSPITALS,0,7,TIER2,AUTO,187670,YES,52.50,51.36,52.05,
HEALTHIETF,EQUITY,Nifty Healthcare,SECTOR,PHARMA_HEALTHCARE,HEALTHCARE,4,7,TIER1,AUTO,169749,YES,170.44,167.09,169.82,
HEALTHCARE,EQUITY,Nifty 500 Healthcare,SECTOR,PHARMA_HEALTHCARE,500 HEALTHCARE,0,7,TIER2,AUTO,144250,YES,21.65,21.32,18.17,
HEALTHY,EQUITY,Nifty Healthcare,SECTOR,PHARMA_HEALTHCARE,HEALTHCARE,4,7,TIER1,AUTO,118781,YES,17.15,16.75,17.01,
MOHEALTH,EQUITY,BSE Healthcare,SECTOR,PHARMA_HEALTHCARE,HEALTHCARE,4,7,TIER1,AUTO,44591,NO,52.17,51.19,-,
HEALTHADD,EQUITY,Nifty Healthcare,SECTOR,PHARMA_HEALTHCARE,HEALTHCARE,4,7,TIER1,AUTO,11028,NO,16.80,16.44,16.70,
HEALTHAXIS,EQUITY,Nifty Healthcare,SECTOR,PHARMA_HEALTHCARE,HEALTHCARE,4,7,TIER1,AUTO,2855,NO,167.94,165.66,166.48,
CPSEETF,EQUITY,Nifty CPSE,SECTOR,PSU,CPSE,0,4,TIER2,AUTO,481374,YES,92.28,92.29,92.55,
ICICIB22,EQUITY,BSE BHARAT 22,SECTOR,PSU,BHARAT 22,0,4,TIER2,AUTO,130930,YES,111.70,111.91,112.18,
ABSLPSE,EQUITY,Nifty PSE,SECTOR,PSU,PSE,2,4,TIER1,AUTO,98835,NO,9.84,9.91,9.97,
GROWWPSE,EQUITY,Nifty PSE,SECTOR,PSU,PSE,2,4,TIER1,AUTO,12155,NO,96.56,95.74,96.34,
MOPSE,EQUITY,Nifty PSE,SECTOR,PSU,PSE,2,4,TIER1,AUTO,1574,NO,101.32,96.91,97.44,
MOSERVICE,EQUITY,Nifty Services Sector,SECTOR,SERVICES,SERVICES SECTOR,0,0,NO,AUTO,633,NO,30.00,29.98,13.94,
MOTOUR,EQUITY,Nifty India Tourism,SECTOR,TOURISM,INDIA TOURISM,0,0,NO,AUTO,9206,NO,76.69,74.91,76.36,
