SYMBOL,NSE_CATEGORY,NSE_SUB_CATEGORY,ATOM_BUCKET,TIER2_GROUP,TIER1_INDEX,PEERS_TIER1,PEERS_TIER2,PROXY_AVAILABLE,ASSIGNMENT_STATUS,VOLUME_INFO_ONLY,LIQUID_INFO_ONLY,LTP,NAV,I_NAV,NOTE
CASHIETF,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,0,0,NO,AUTO,228889,YES,"1,079.82","1,079.69","1,079.83",debt/liquid — never traded (D-015)
LIQUIDBETF,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,0,0,NO,AUTO,228189,YES,"1,099.07","1,098.93",-,debt/liquid — never traded (D-015)
GROWWLIQID,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,0,0,NO,AUTO,154650,YES,110.78,110.76,110.78,debt/liquid — never traded (D-015)
LTGILTCASE,DEBT,GSECS/GILT,EXCLUDED,DEBT,GSECS/GILT,0,0,NO,AUTO,152684,YES,30.27,30.27,30.24,debt/liquid — never traded (D-015)
LIQUIDPLUS,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,0,0,NO,AUTO,148108,YES,"1,103.46","1,103.33","1,103.47",debt/liquid — never traded (D-015)
GILT5YBEES,DEBT,GSECS/GILT,EXCLUDED,DEBT,GSECS/GILT,0,0,NO,AUTO,114991,YES,65.82,65.81,65.75,debt/liquid — never traded (D-015)
SBILIQETF,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,0,0,NO,AUTO,96438,NO,"1,056.20","1,056.08","1,056.21",debt/liquid — never traded (D-015)
LIQUIDETF,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,0,0,NO,AUTO,71901,NO,"1,000.00","1,000.00","1,000.00",debt/liquid — never traded (D-015)
ELIQUID,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,0,0,NO,AUTO,32327,NO,"1,048.00","1,047.86",-,debt/liquid — never traded (D-015)
LIQUIDSBI,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,0,0,NO,AUTO,14603,NO,"1,000.01","1,000.00","1,000.00",debt/liquid — never traded (D-015)
AONELIQUID,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,0,0,NO,AUTO,14434,NO,"1,077.17","1,077.02","1,077.02",debt/liquid — never traded (D-015)
HDFCLIQUID,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,0,0,NO,AUTO,14392,NO,"1,078.19",-,"1,078.19",debt/liquid — never traded (D-015)
ABSLLIQUID,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,0,0,NO,AUTO,12180,NO,"1,000.01","1,000.00","1,000.00",debt/liquid — never traded (D-015)
LIQUIDSHRI,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,0,0,NO,AUTO,11007,NO,"1,121.72","1,121.59","1,121.73",debt/liquid — never traded (D-015)
EBBETF0430,DEBT,Bond,EXCLUDED,DEBT,BOND,0,0,NO,AUTO,7020,NO,"1,607.69","1,609.57","1,610.12",debt/liquid — never traded (D-015)
GSEC10YEAR,DEBT,GSECS/GILT,EXCLUDED,DEBT,GSECS/GILT,0,0,NO,AUTO,5046,NO,30.35,30.24,30.24,debt/liquid — never traded (D-015)
EBBETF0431,DEBT,Bond,EXCLUDED,DEBT,BOND,0,0,NO,AUTO,3663,NO,"1,430.01","1,433.40","1,432.80",debt/liquid — never traded (D-015)
EBBETF0433,DEBT,Bond,EXCLUDED,DEBT,BOND,0,0,NO,AUTO,3052,NO,"1,302.01","1,303.08","1,304.22",debt/liquid — never traded (D-015)
LICNETFGSC,DEBT,GSECS/GILT,EXCLUDED,DEBT,GSECS/GILT,0,0,NO,AUTO,2724,NO,29.26,29.25,29.24,debt/liquid — never traded (D-015)
GSEC5IETF,DEBT,GSECS/GILT,EXCLUDED,DEBT,GSECS/GILT,0,0,NO,AUTO,2564,NO,65.62,65.94,65.93,debt/liquid — never traded (D-015)
SETF10GILT,DEBT,GSECS/GILT,EXCLUDED,DEBT,GSECS/GILT,0,0,NO,AUTO,1434,NO,261.38,262.79,262.72,debt/liquid — never traded (D-015)
BBETF0432,DEBT,Bond,EXCLUDED,DEBT,BOND,0,0,NO,AUTO,998,NO,"1,340.00","1,341.49","1,343.11",debt/liquid — never traded (D-015)
MOGSEC,DEBT,GSECS/GILT,EXCLUDED,DEBT,GSECS/GILT,0,0,NO,AUTO,670,NO,65.38,64.94,64.92,debt/liquid — never traded (D-015)
LIQUIDBETA,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,0,0,NO,AUTO,541,NO,"1,008.29","1,008.15","1,008.28",debt/liquid — never traded (D-015)
