SYMBOL,NSE_CATEGORY,NSE_SUB_CATEGORY,ATOM_BUCKET,TIER2_GROUP,TIER1_INDEX,VOLUME,LIQUID,TRADABLE,HARVEST_PEERS_TIER1,HARVEST_PEERS_TIER2,HARVEST_VIABLE,LTP,NAV,I_NAV,NOTE
METALIETF,EQUITY,Nifty Metal,SECTOR,METALS,METAL,2907242,YES,YES,2,2,TIER1,12.99,12.82,12.94,
GROWWMETAL,EQUITY,Nifty Metal,SECTOR,METALS,METAL,407418,YES,YES,2,2,TIER1,12.16,12.14,12.26,
HDFCNIMEG,EQUITY,Nifty Metal,SECTOR,METALS,METAL,20678,NO,NO,0,0,NO,127.98,127.34,128.54,
EMETAL,EQUITY,Nifty Metal,SECTOR,METALS,METAL,7553,NO,NO,0,0,NO,13.70,12.73,12.86,
MOMETAL,EQUITY,Nifty Metal,SECTOR,METALS,METAL,2261,NO,NO,0,0,NO,12.81,12.74,12.87,
MNC,EQUITY,Nifty MNC,SECTOR,MNC,MNC,18692,NO,NO,0,0,NO,32.49,32.10,32.25,
MOMNC,EQUITY,Nifty MNC ETF,SECTOR,MNC,MNC,2332,NO,NO,0,0,NO,31.46,31.08,27.76,
PHARMABEES,EQUITY,Nifty Pharma,SECTOR,PHARMA_HEALTHCARE,PHARMA,3319130,YES,YES,0,4,TIER2,27.38,26.89,27.33,
GROWWHOSPI,EQUITY,BSE Hospitals,SECTOR,PHARMA_HEALTHCARE,HOSPITALS,187670,YES,YES,0,4,TIER2,52.50,51.36,52.05,
HEALTHIETF,EQUITY,Nifty Healthcare,SECTOR,PHARMA_HEALTHCARE,HEALTHCARE,169749,YES,YES,1,4,TIER1,170.44,167.09,169.82,
HEALTHCARE,EQUITY,Nifty 500 Healthcare,SECTOR,PHARMA_HEALTHCARE,500 HEALTHCARE,144250,YES,YES,0,4,TIER2,21.65,21.32,18.17,
HEALTHY,EQUITY,Nifty Healthcare,SECTOR,PHARMA_HEALTHCARE,HEALTHCARE,118781,YES,YES,1,4,TIER1,17.15,16.75,17.01,
MOHEALTH,EQUITY,BSE Healthcare,SECTOR,PHARMA_HEALTHCARE,HEALTHCARE,44591,NO,NO,0,0,NO,52.17,51.19,-,
HEALTHADD,EQUITY,Nifty Healthcare,SECTOR,PHARMA_HEALTHCARE,HEALTHCARE,11028,NO,NO,0,0,NO,16.80,16.44,16.70,
HEALTHAXIS,EQUITY,Nifty Healthcare,SECTOR,PHARMA_HEALTHCARE,HEALTHCARE,2855,NO,NO,0,0,NO,167.94,165.66,166.48,
CPSEETF,EQUITY,Nifty CPSE,SECTOR,PSU,CPSE,481374,YES,YES,0,1,TIER2,92.28,92.29,92.55,
ICICIB22,EQUITY,BSE BHARAT 22,SECTOR,PSU,BHARAT 22,130930,YES,YES,0,1,TIER2,111.70,111.91,112.18,
ABSLPSE,EQUITY,Nifty PSE,SECTOR,PSU,PSE,98835,NO,NO,0,0,NO,9.84,9.91,9.97,
GROWWPSE,EQUITY,Nifty PSE,SECTOR,PSU,PSE,12155,NO,NO,0,0,NO,96.56,95.74,96.34,
MOPSE,EQUITY,Nifty PSE,SECTOR,PSU,PSE,1574,NO,NO,0,0,NO,101.32,96.91,97.44,
MOSERVICE,EQUITY,Nifty Services Sector,SECTOR,SERVICES,SERVICES SECTOR,633,NO,NO,0,0,NO,30.00,29.98,13.94,
MOTOUR,EQUITY,Nifty India Tourism,SECTOR,TOURISM,INDIA TOURISM,9206,NO,NO,0,0,NO,76.69,74.91,76.36,
