SYMBOL,SCHEME_NAME,AMC,BENCHMARK_INDEX,ISIN,EXPENSE_RATIO,LAUNCH_DATE,UNDERLYING_ASSET,SOURCE,FETCHED_AT,ERROR
MASPTOP50,,,,,,,,,2026-09-20T14:35:11+00:00,
METAL,,,,,,,,,2026-09-20T14:35:11+00:00,
METALIETF,,,,,,,,,2026-09-20T14:35:11+00:00,
MID150,,,,,,,,,2026-09-20T14:35:11+00:00,
MID150BEES,,,,,,,,,2026-09-20T14:35:11+00:00,
MID150CASE,,,,,,,,,2026-09-20T14:35:11+00:00,
MIDBANKADD,,,,,,,,,2026-09-20T14:35:11+00:00,
MIDCAP,,,,,,,,,2026-09-20T14:35:11+00:00,
MIDCAPADD,,,,,,,,,2026-09-20T14:35:11+00:00,
MIDCAPBETA,,,,,,,,,2026-09-20T14:35:11+00:00,
MIDCAPETF,,,,,,,,,2026-09-20T14:35:11+00:00,
MIDCAPIETF,,,,,,,,,2026-09-20T14:35:11+00:00,
MIDQ50ADD,,,,,,,,,2026-09-20T14:35:11+00:00,
MIDSELIETF,,,,,,,,,2026-09-20T14:35:11+00:00,
MIDSMALL,,,,,,,,,2026-09-20T14:35:11+00:00,
MNC,,,,,,,,,2026-09-20T14:35:11+00:00,
MOALPHA50,,,,,,,,,2026-09-20T14:35:11+00:00,
MOBANK10,,,,,,,,,2026-09-20T14:35:11+00:00,
MOCAPITAL,,,,,,,,,2026-09-20T14:35:11+00:00,
MODEFENCE,,,,,,,,,2026-09-20T14:35:11+00:00,
MOENERGY,,,,,,,,,2026-09-20T14:35:11+00:00,
MOGOLD,,,,,,,,,2026-09-20T14:35:11+00:00,
MOHEALTH,,,,,,,,,2026-09-20T14:35:11+00:00,
MOINFRA,,,,,,,,,2026-09-20T14:35:11+00:00,
MOIPO,,,,,,,,,2026-09-20T14:35:11+00:00,
MOLOWVOL,,,,,,,,,2026-09-20T14:35:11+00:00,
MOM100,,,,,,,,,2026-09-20T14:35:11+00:00,
MOM30IETF,,,,,,,,,2026-09-20T14:35:11+00:00,
MOM50,,,,,,,,,2026-09-20T14:35:11+00:00,
MOMENTUM,,,,,,,,,2026-09-20T14:35:11+00:00,
MOMENTUM30,,,,,,,,,2026-09-20T14:35:11+00:00,
MOMENTUM50,,,,,,,,,2026-09-20T14:35:11+00:00,
MOMETAL,,,,,,,,,2026-09-20T14:35:11+00:00,
MOMGF,,,,,,,,,2026-09-20T14:35:11+00:00,
MOMIDMTM,,,,,,,,,2026-09-20T14:35:11+00:00,
MOMMIDCAP,,,,,,,,,2026-09-20T14:35:11+00:00,
MOMNC,,,,,,,,,2026-09-20T14:35:11+00:00,
MOMOMENTUM,,,,,,,,,2026-09-20T14:35:11+00:00,
MON100,,,,,,,,,2026-09-20T14:35:11+00:00,
MON50EQUAL,,,,,,,,,2026-09-20T14:35:11+00:00,
MONEXT50,,,,,,,,,2026-09-20T14:35:11+00:00,
MONIFTY100,,,,,,,,,2026-09-20T14:35:11+00:00,
MONIFTY500,,,,,,,,,2026-09-20T14:35:11+00:00,
MONQ50,,,,,,,,,2026-09-20T14:35:11+00:00,
MOOILGAS,,,,,,,,,2026-09-20T14:35:11+00:00,
MOPSE,,,,,,,,,2026-09-20T14:35:11+00:00,
MOQUALITY,,,,,,,,,2026-09-20T14:35:11+00:00,
MOREALTY,,,,,,,,,2026-09-20T14:35:11+00:00,
