SYMBOL,ISIN,SCHEME_NAME,AMC,BENCHMARK_DERIVED,NSE_SUB_CATEGORY,BENCHMARK_MATCHES_NSE,EXCHANGE,ISIN_SOURCE,NAME_SOURCE,FETCHED_AT
SILVER,INF209KB19F6,Aditya Birla Sun Life Silver ETF,Aditya Birla Sun Life Mutual Fund,Silver,SILVER,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SILVER001,INF966L01EI5,QUANT_AMC - SILVER001,,Silver,SILVER,YES,NSE,dhan,upstox,2026-09-20T14:45:08+00:00
SILVER1,INF174KA1ZD3,Kotak Silver ETF,Kotak Mahindra Mutual Fund,Silver,SILVER,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SILVER360,INF579M01BC3,360 ONE Silver ETF,360 ONE Mutual Fund,Silver,SILVER,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SILVERADD,INF740KA1ZQ0,DSP Silver ETF,DSP Mutual Fund,Silver,SILVER,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SILVERAG,INF769K01KG6,Mirae Asset Silver ETF,Mirae Asset Mutual Fund,Silver,SILVER,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SILVERAXIS,INF846K011K1,Axis Silver ETF,Axis Mutual Fund,Silver,SILVER,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SILVERBEES,INF204KC1402,Nippon India Silver ETF,Nippon India Mutual Fund,Silver,SILVER,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SILVERBETA,INF789F1AYK6,UTI Silver Exchange Traded Fund,UTI Mutual Fund,Silver,SILVER,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SILVERBND,INF194KB1KI9,Bandhan Silver ETF,Bandhan Mutual Fund,Silver,SILVER,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SILVERCASE,INF0R8F01091,Zerodha Silver ETF,Zerodha Mutual Fund,Silver,SILVER,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SILVERIETF,INF109KC1Y56,ICICI PRUDENTIAL SILVER ETF,ICICI Prudential Mutual Fund,Silver,SILVER,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SMALL250,INF769K01PQ4,Mirae Asset Nifty Smallcap 250 ETF,Mirae Asset Mutual Fund,Nifty Smallcap 250,Nifty Smallcap 250,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SMALLADD,INF740KA1WX3,DSP Nifty Smallcap 250 ETF,DSP Mutual Fund,Nifty Smallcap 250,Nifty Smallcap 250,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SMALLCAP,INF769K01LC3,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF,Mirae Asset Mutual Fund,Nifty Smallcap 250,Nifty Smallcap 250 Momentum Quality 100,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SMALLGROWW,INF666M01PG9,Groww Nifty Smallcap 250 Momentum Quality 100 ETF,Groww Mutual Fund,Nifty Smallcap 250,Nifty Smallcap 250 Momentum Quality 100,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SMALLIETF,INF109K1A476,ICICI Prudential Nifty Smallcap 250 ETF,ICICI Prudential Mutual Fund,Nifty Smallcap 250,Nifty Smallcap 250,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SML100CASE,INF0R8F01141,Zerodha Nifty Smallcap 100 ETF,Zerodha Mutual Fund,Nifty Smallcap 100,Nifty Smallcap100,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SNXT30BEES,INF204KC1EZ3,Nippon India BSE Sensex Next 30 ETF,Nippon India Mutual Fund,Sensex Next,BSE Sensex Next 30,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SNXT50BETA,INF789F1AUU3,UTI - BSE Sensex Next 50 Exchange Traded Fund,UTI Mutual Fund,Sensex Next,BSE SENSEX Next 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
TATAGOLD,INF277KA1976,Tata Gold Exchange Traded Fund,Tata Mutual Fund,Gold,GOLD,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
TATSILV,INF277KA1984,Tata Silver Exchange Traded Fund,Tata Mutual Fund,Silver,SILVER,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
TECH,INF209KB11D8,Aditya Birla Sun Life Nifty IT ETF,Aditya Birla Sun Life Mutual Fund,Nifty It,Nifty IT,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
TNIDETF,INF277KA1364,Tata Nifty India Digital Exchange Traded Fund,Tata Mutual Fund,,Nifty Private Bank,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
TOP100CASE,INF0R8F01067,Zerodha Nifty 100 ETF,Zerodha Mutual Fund,Nifty 100,Nifty 100,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
TOP10ADD,INF740KA1UR9,DSP Nifty Top 10 Equal Weight ETF,DSP Mutual Fund,,Nifty Top 10 Equal Weight,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
TOP15IETF,INF109K1A344,ICICI Prudential Nifty Top 15 Equal Weight ETF,ICICI Prudential Mutual Fund,,Nifty Top 15 Equal Weight,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
TOP20,INF769K01PZ5,Mirae Asset Nifty Top 20 Equal Weight ETF,Mirae Asset Mutual Fund,,Nifty Top 20 Equal Weight,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
TWCGOLDETF,INF2F0001370,The Wealth Company Gold ETF,The Wealth Company Mutual Fund,Gold,GOLD,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
UNIONGOLD,INF582M01KS4,Union Gold ETF,Union Mutual Fund,Gold,GOLD,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
VAL30IETF,INF109KC16X5,ICICI Prudential Nifty200 Value 30 ETF,ICICI Prudential Mutual Fund,,Nifty 200 Value 30,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
VALUE,INF769K01QV2,Mirae Asset Nifty 500 Value 50 ETF,Mirae Asset Mutual Fund,Nifty 500 Value 50,Nifty 500 Value 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
VALUEAXIS,INF846KA1119,Axis Nifty500 Value 50 ETF,Axis Mutual Fund,,Nifty 500 Value 50,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
