SYMBOL,ISIN,SCHEME_NAME,AMC,BENCHMARK_DERIVED,NSE_SUB_CATEGORY,BENCHMARK_MATCHES_NSE,EXCHANGE,ISIN_SOURCE,NAME_SOURCE,FETCHED_AT
GOLD1,INF174KA1HJ8,KOTAK GOLD ETF,Kotak Mahindra Mutual Fund,Gold,GOLD,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
GOLD360,INF579M01BB5,360 ONE Gold ETF,360 ONE Mutual Fund,Gold,GOLD,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
GOLDADD,INF740KA1ZP2,DSP Gold ETF,DSP Mutual Fund,Gold,GOLD,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
GOLDAXIS,INF846K01W80,Axis Gold ETF,Axis Mutual Fund,Gold,GOLD,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
GOLDBEES,INF204KB17I5,Nippon India ETF Gold BeES,Nippon India Mutual Fund,Gold,GOLD,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
GOLDBETA,INF789F1AUX7,UTI - Gold Exchange Traded Fund,UTI Mutual Fund,Gold,GOLD,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
GOLDBND,INF194KB1KJ7,Bandhan Gold ETF,Bandhan Mutual Fund,Gold,GOLD,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
GOLDCASE,INF0R8F01042,Zerodha Gold ETF,Zerodha Mutual Fund,Gold,GOLD,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
GOLDETF,INF769K01JP9,Mirae Asset Gold ETF,Mirae Asset Mutual Fund,Gold,GOLD,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
GOLDIETF,INF109KC1NT3,ICICI Prudential Gold ETF,ICICI Prudential Mutual Fund,Gold,GOLD,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
GROWWCAPM,INF666M01MM4,Groww Nifty Capital Markets ETF,Groww Mutual Fund,,Nifty Capital Market,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
GROWWCHEM,INF666M01NP5,Groww Nifty Chemicals ETF,Groww Mutual Fund,,Nifty Chemicals,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
GROWWDEFNC,INF666M01IO8,Groww Nifty India Defence ETF,Groww Mutual Fund,,Nifty India Defence,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
GROWWEV,INF666M01IH2,Groww Nifty EV & New Age Automotive ETF,Groww Mutual Fund,,Nifty EV and New Age Automotive,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
GROWWGOLD,INF666M01OE7,Groww Gold ETF,Groww Mutual Fund,Gold,GOLD,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
GROWWHOSPI,INF666M01OD9,Groww BSE Hospitals ETF,Groww Mutual Fund,,BSE Hospitals,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
GROWWLOVOL,INF666M01LB9,Groww Nifty 500 Low Volatility 50 ETF,Groww Mutual Fund,Nifty 500 Low Volatility 50,Nifty 500 Low Volatility 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
GROWWMC150,INF666M01MV5,Groww Nifty Midcap 150 ETF,Groww Mutual Fund,Nifty Midcap 150,Nifty Midcap 150,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
GROWWMETAL,INF666M01NI0,Groww Nifty Metal ETF,Groww Mutual Fund,Nifty Metal,Nifty Metal,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
GROWWMOM50,INF666M01KJ4,Groww Nifty 500 Momentum 50 ETF,Groww Mutual Fund,Nifty 500 Momentum 50,Nifty 500 Momentum 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
GROWWN200,INF666M01JV1,Groww Nifty 200 ETF,Groww Mutual Fund,Nifty 200,Nifty 200,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
GROWWNET,INF666M01LI4,Groww Nifty India Internet ETF,Groww Mutual Fund,,Nifty India Internet,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
GROWWNIFTY,INF666M01LL8,Groww Nifty 50 ETF,Groww Mutual Fund,Nifty 50,Nifty 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
GROWWNXT50,INF666M01LZ8,Groww Nifty Next 50 ETF,Groww Mutual Fund,Nifty Next 50,Nifty Next 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
GROWWPOWER,INF666M01LM6,Groww BSE Power ETF,Groww Mutual Fund,,BSE Power,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
GROWWPSE,INF666M01NQ3,Groww Nifty PSE ETF,Groww Mutual Fund,,Nifty PSE,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
GROWWPSUBK,INF666M01OG2,Groww Nifty PSU Bank ETF,Groww Mutual Fund,,Nifty PSU Bank,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
GROWWRAIL,INF666M01JJ6,Groww Nifty India Railways PSU ETF,Groww Mutual Fund,,Nifty India Railways PSU,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
GROWWRLTY,INF666M01MN2,Groww Nifty Realty ETF,Groww Mutual Fund,,Nifty Realty,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
GROWWSC250,INF666M01MO0,Groww Nifty Smallcap 250 ETF,Groww Mutual Fund,Nifty Smallcap 250,Nifty Smallcap 250,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
